#[0]step() [1]time(s) [2]m0_rho(C/m^3*vol) [3]m1_rho_cos(C/m^3*vol) [4]m1_rho_sin(C/m^3*vol) [5]m1_rho_ratio()
2208 1.10400000000004e-08 3.22120662750931e+09 2.66611859239909e+06 2.33672706380057e+06 1.10058306254035e-03
2240 1.12000000000004e-08 3.22120662750931e+09 2.65646357921605e+06 2.34922509542382e+06 1.10089718926173e-03
2272 1.13600000000004e-08 3.22120662750931e+09 2.64639982678274e+06 2.36085432723224e+06 1.10095881271284e-03
2304 1.15200000000005e-08 3.22120662750931e+09 2.63591144855318e+06 2.37162081589675e+06 1.10076399327804e-03
2336 1.16800000000005e-08 3.22120662750931e+09 2.62493256561252e+06 2.38153947885561e+06 1.10029928921117e-03
2368 1.18400000000005e-08 3.22120662750931e+09 2.61350297142033e+06 2.39062669620252e+06 1.09957611062374e-03
2400 1.20000000000005e-08 3.22120662750931e+09 2.60170340562471e+06 2.39896068773758e+06 1.09862820230110e-03
2432 1.21600000000005e-08 3.22120662750931e+09 2.58950592442533e+06 2.40656324405992e+06 1.09745272886371e-03
2464 1.23200000000006e-08 3.22120662750931e+09 2.57689465187644e+06 2.41344738473213e+06 1.09604793724732e-03
2496 1.24800000000006e-08 3.22120662750931e+09 2.56378742692590e+06 2.41962694818008e+06 1.09439741525103e-03
2528 1.26400000000006e-08 3.22120662750931e+09 2.55022142893861e+06 2.42511471384001e+06 1.09251171515093e-03
2560 1.28000000000006e-08 3.22120662750931e+09 2.53624419936885e+06 2.42996027698290e+06 1.09041156896968e-03
2592 1.29600000000007e-08 3.22120662750931e+09 2.52190301115476e+06 2.43429496990943e+06 1.08813530974642e-03
2624 1.31200000000007e-08 3.22120662750931e+09 2.50724265439684e+06 2.43810885671270e+06 1.08569044821063e-03
2656 1.32800000000007e-08 3.22120662750931e+09 2.49217443708051e+06 2.44151087582445e+06 1.08308055926829e-03
2688 1.34400000000007e-08 3.22120662750931e+09 2.47678189708631e+06 2.44453456019735e+06 1.08033148690647e-03
2720 1.36000000000007e-08 3.22120662750931e+09 2.46111185156791e+06 2.44721821227098e+06 1.07746188872433e-03
2752 1.37600000000008e-08 3.22120662750931e+09 2.44505392099856e+06 2.44959005777752e+06 1.07445371732060e-03
2784 1.39200000000008e-08 3.22120662750931e+09 2.42868515323707e+06 2.45177856254387e+06 1.07135245317894e-03
2816 1.40800000000008e-08 3.22120662750931e+09 2.41196502454926e+06 2.45379777324820e+06 1.06815284503623e-03
2848 1.42400000000008e-08 3.22120662750931e+09 2.39494992366294e+06 2.45571878003633e+06 1.06488353057491e-03
2880 1.44000000000009e-08 3.22120662750931e+09 2.37764580395539e+06 2.45755816156280e+06 1.06155016536247e-03
2912 1.45600000000009e-08 3.22120662750931e+09 2.36005784850264e+06 2.45941164299250e+06 1.05817602531678e-03
2944 1.47200000000009e-08 3.22120662750931e+09 2.34221189246298e+06 2.46127236151290e+06 1.05476608026495e-03
2976 1.48800000000009e-08 3.22120662750931e+09 2.32408640062714e+06 2.46317777645862e+06 1.05132512188483e-03
